timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444637.075,4.56177,4.11176,5.94798,0.021,0.0089,0.03521
1763444637.175,4.56186,4.11177,5.948,0.02102,0.00895,0.03522
1763444637.275,4.56196,4.11178,5.94801,0.02102,0.00895,0.03522
1763444637.375,4.56217,4.1118,5.94803,0.02101,0.00894,0.03523
1763444637.475,4.56231,4.11181,5.94805,0.02101,0.00894,0.03523
1763444637.575,4.56249,4.11181,5.94806,0.02101,0.00894,0.03523
1763444637.675,4.56266,4.1118,5.94806,0.02101,0.00893,0.03523
1763444637.775,4.56276,4.1118,5.94806,0.02101,0.00893,0.03523
1763444637.875,4.56289,4.1118,5.94807,0.02101,0.00893,0.03523
1763444637.975,4.56288,4.1118,5.94807,0.021,0.00892,0.03522
1763444638.075,4.56282,4.11181,5.94807,0.021,0.00892,0.03522
1763444638.175,4.56273,4.11182,5.94808,0.02101,0.00894,0.03523
1763444638.275,4.56266,4.11182,5.94809,0.02101,0.00894,0.03523
1763444638.375,4.56263,4.11183,5.94809,0.02101,0.00894,0.03523
1763444638.475,4.56268,4.11185,5.9481,0.021,0.00893,0.03523
1763444638.575,4.56273,4.11188,5.94811,0.021,0.00893,0.03523
1763444638.675,4.5628,4.11191,5.94813,0.021,0.00893,0.03523
1763444638.775,4.56286,4.11193,5.94814,0.021,0.00893,0.03524
1763444638.875,4.5629,4.11193,5.94815,0.021,0.00893,0.03524
1763444638.975,4.56292,4.11192,5.94815,0.021,0.00893,0.03524
1763444639.075,4.56293,4.11191,5.94815,0.02102,0.00892,0.03525
1763444639.175,4.56295,4.11191,5.94816,0.02102,0.00892,0.03525
1763444639.275,4.56299,4.11196,5.94819,0.02102,0.00895,0.03525
1763444639.375,4.56302,4.112,5.9482,0.02102,0.00895,0.03525
1763444639.475,4.56307,4.11205,5.94823,0.02102,0.00895,0.03525
1763444639.575,4.56316,4.11214,5.9483,0.02102,0.00897,0.03527
1763444639.675,4.56325,4.11222,5.94836,0.02102,0.00897,0.03527
1763444639.775,4.56339,4.11232,5.94845,0.02102,0.00897,0.03527
1763444639.875,4.56354,4.11235,5.9485,0.02101,0.00895,0.03526
1763444639.975,4.56367,4.11234,5.94852,0.02101,0.00895,0.03526
1763444640.075,4.56384,4.11226,5.94851,0.02101,0.00896,0.03526
1763444640.175,4.56396,4.1122,5.9485,0.02101,0.00896,0.03526
1763444640.275,4.5641,4.11216,5.9485,0.02101,0.00896,0.03526
1763444640.375,4.56425,4.11215,5.94853,0.02101,0.00896,0.03526
1763444640.475,4.56435,4.11215,5.94856,0.02101,0.00896,0.03526
1763444640.575,4.5645,4.11215,5.94859,0.02101,0.00896,0.03526
1763444640.675,4.56466,4.11214,5.94863,0.021,0.00897,0.03525
1763444640.775,4.56483,4.11214,5.94867,0.021,0.00897,0.03525
1763444640.875,4.56495,4.11214,5.94869,0.021,0.00897,0.03525
1763444640.975,4.56517,4.11214,5.94874,0.02102,0.00897,0.03526
1763444641.075,4.56539,4.11215,5.94879,0.02102,0.00897,0.03526
1763444641.175,4.5656,4.11216,5.94884,0.02102,0.00897,0.03526
1763444641.275,4.56576,4.11216,5.94887,0.02102,0.00897,0.03526
1763444641.375,4.56591,4.11216,5.94891,0.02102,0.00897,0.03526
1763444641.475,4.56621,4.11217,5.94897,0.02105,0.00902,0.03527
1763444641.575,4.56651,4.11219,5.94902,0.02105,0.00902,0.03527
1763444641.675,4.56694,4.11221,5.9491,0.02105,0.00902,0.03527
1763444641.775,4.56771,4.1123,5.94927,0.02106,0.00908,0.03529
1763444641.875,4.5685,4.11239,5.94946,0.02106,0.00908,0.03529
1763444641.975,4.57004,4.11261,5.94986,0.02107,0.00911,0.03531
1763444642.075,4.57102,4.11275,5.95012,0.02107,0.00911,0.03531
1763444642.175,4.57123,4.11277,5.95015,0.02105,0.00896,0.0353
1763444642.275,4.57116,4.11275,5.95011,0.02105,0.00896,0.0353
1763444642.375,4.57077,4.11267,5.94997,0.02105,0.00896,0.0353
1763444642.475,4.57031,4.11261,5.94985,0.02104,0.00897,0.03529
1763444642.575,4.56979,4.11255,5.94973,0.02104,0.00897,0.03529
1763444642.675,4.56909,4.11246,5.94955,0.02104,0.00897,0.03529
1763444642.775,4.56885,4.11246,5.94953,0.02104,0.00899,0.0353
1763444642.875,4.56874,4.11247,5.94954,0.02104,0.00899,0.0353
1763444642.975,4.56874,4.11248,5.94955,0.02104,0.00899,0.0353
1763444643.075,4.56881,4.11252,5.94959,0.02104,0.009,0.0353
1763444643.175,4.56898,4.11257,5.94964,0.02103,0.00899,0.03531
1763444643.275,4.56907,4.11259,5.94966,0.02103,0.00899,0.03531
1763444643.375,4.56915,4.11261,5.94967,0.02103,0.00899,0.03531
1763444643.475,4.56933,4.1126,5.94969,0.02103,0.00901,0.03531
1763444643.575,4.56961,4.11258,5.9497,0.02103,0.00901,0.03531
1763444643.675,4.57001,4.11259,5.94973,0.02104,0.00902,0.03532
1763444643.775,4.57043,4.11259,5.94976,0.02104,0.00902,0.03532
1763444643.875,4.57058,4.11259,5.94977,0.02104,0.00896,0.03531
1763444643.975,4.57058,4.11259,5.94977,0.02104,0.00896,0.03531
1763444644.075,4.5701,4.11259,5.94976,0.02104,0.00897,0.03532
1763444644.175,4.56978,4.11259,5.94975,0.02106,0.009,0.03533
1763444644.275,4.56979,4.11261,5.94977,0.02106,0.00899,0.03533
1763444644.375,4.5698,4.11262,5.94977,0.02106,0.00899,0.03533
1763444644.475,4.5698,4.11262,5.94977,0.02106,0.00899,0.03533
1763444644.575,4.56982,4.1126,5.94978,0.02105,0.00896,0.03534
1763444644.675,4.56984,4.11259,5.94978,0.02105,0.00896,0.03534
1763444644.775,4.56982,4.1126,5.94978,0.02105,0.00896,0.03533
1763444644.875,4.56982,4.11259,5.94978,0.02105,0.00896,0.03533
1763444644.975,4.56981,4.11259,5.94978,0.02105,0.00896,0.03533
