timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444630.875,4.24626,4.75165,5.62134,0.01042,0.022,0.03272
1763444630.975,4.24627,4.75166,5.62135,0.01042,0.022,0.03272
1763444631.075,4.2463,4.75167,5.62137,0.01042,0.022,0.03272
1763444631.175,4.24632,4.75168,5.62139,0.01042,0.022,0.03272
1763444631.275,4.24633,4.75168,5.6214,0.01043,0.02201,0.03273
1763444631.375,4.24634,4.75168,5.6214,0.01043,0.02201,0.03273
1763444631.475,4.24634,4.75169,5.62141,0.01043,0.02201,0.03273
1763444631.575,4.24636,4.75172,5.62143,0.01043,0.02202,0.03277
1763444631.675,4.24638,4.75176,5.62144,0.01043,0.02202,0.03277
1763444631.775,4.24648,4.75185,5.62148,0.01043,0.022,0.03277
1763444631.875,4.24655,4.7519,5.6215,0.01043,0.022,0.03277
1763444631.975,4.2466,4.75191,5.6215,0.01043,0.022,0.03277
1763444632.075,4.24664,4.75191,5.6215,0.01043,0.02201,0.03274
1763444632.175,4.24668,4.7519,5.62151,0.01043,0.02201,0.03274
1763444632.275,4.24671,4.7519,5.62152,0.01042,0.02199,0.03273
1763444632.375,4.24672,4.7519,5.62152,0.01042,0.02199,0.03273
1763444632.475,4.24674,4.7519,5.62153,0.01042,0.02199,0.03273
1763444632.575,4.24677,4.75192,5.62154,0.01042,0.02199,0.0327
1763444632.675,4.24679,4.75193,5.62155,0.01042,0.02199,0.0327
1763444632.775,4.24683,4.75194,5.62155,0.01042,0.02199,0.0327
1763444632.875,4.24685,4.75195,5.62157,0.01041,0.02199,0.0327
1763444632.975,4.24688,4.75197,5.62158,0.01041,0.02199,0.0327
1763444633.075,4.24691,4.75197,5.62159,0.0104,0.02197,0.03269
1763444633.175,4.24693,4.75198,5.6216,0.0104,0.02197,0.03269
1763444633.275,4.24695,4.75198,5.62162,0.0104,0.02197,0.03269
1763444633.375,4.24697,4.75198,5.62163,0.01041,0.02198,0.03271
1763444633.475,4.24697,4.75198,5.62164,0.01041,0.02198,0.03271
