t_rel,t,speed,yaw_target_deg,yaw_lidar_current_deg,err_current_deg,yaw_lidar_calib_deg,err_calib_deg
287.499999,1766377288.906399,0.609807,164.626650,124.056858,-40.569793,164.951373,0.324723
287.599544,1766377289.005944,0.576498,161.775175,121.056200,-40.718975,161.950715,0.175540
289.999775,1766377291.406175,0.622924,121.276385,80.303166,-40.973219,121.197682,-0.078703
290.099973,1766377291.506373,0.613488,121.883761,80.867878,-41.015883,121.762394,-0.121367
290.200151,1766377291.606551,0.607450,122.202332,81.185647,-41.016685,122.080163,-0.122169
290.300773,1766377291.707173,0.718802,121.813726,80.878333,-40.935394,121.772849,-0.040878
290.399761,1766377291.806161,0.666553,121.106560,80.187429,-40.919131,121.081945,-0.024615
290.499165,1766377291.905566,0.654600,120.860957,79.971627,-40.889330,120.866142,0.005185
290.600116,1766377292.006517,0.755683,120.968398,80.051972,-40.916426,120.946487,-0.021910
290.699343,1766377292.105744,0.687595,121.895011,80.930067,-40.964944,121.824583,-0.070428
290.799928,1766377292.206328,0.609125,122.320639,81.353537,-40.967102,122.248052,-0.072586
290.899896,1766377292.306296,0.643107,122.047149,81.113885,-40.933264,122.008401,-0.038748
290.999640,1766377292.406040,0.604755,121.197254,80.308084,-40.889171,121.202599,0.005345
291.099024,1766377292.505425,0.628508,120.724374,79.859793,-40.864581,120.754309,0.029935
291.199251,1766377292.605652,0.656782,120.988163,80.032678,-40.955485,120.927194,-0.060970
291.299179,1766377292.705580,0.643097,121.966054,80.962622,-41.003433,121.857137,-0.108917
291.399184,1766377292.805584,0.597708,122.446353,81.469202,-40.977151,122.363718,-0.082636
291.499182,1766377292.905583,0.637375,122.051045,81.194594,-40.856451,122.089110,0.038064
291.600317,1766377293.006718,0.584993,121.108394,80.263382,-40.845012,121.157898,0.049504
291.700093,1766377293.106494,0.540953,120.710810,79.859700,-40.851110,120.754216,0.043406
291.799955,1766377293.206355,0.599159,120.918371,79.968289,-40.950083,120.862805,-0.055567
291.899353,1766377293.305753,0.535666,121.880143,80.957818,-40.922325,121.852333,-0.027810
292.099074,1766377293.505474,0.555690,122.009992,81.192177,-40.817815,122.086693,0.076701
292.399055,1766377293.805456,0.583091,120.957223,80.049471,-40.907751,120.943987,-0.013236
292.500106,1766377293.906507,0.623185,121.451221,80.502936,-40.948286,121.397451,-0.053770
292.599109,1766377294.005509,0.614749,121.715298,80.771754,-40.943544,121.666270,-0.049028
292.700295,1766377294.106696,0.660168,121.583618,80.664604,-40.919014,121.559120,-0.024498
292.800118,1766377294.206519,0.653920,120.797934,79.865772,-40.932161,120.760288,-0.037646
292.899261,1766377294.305661,0.638494,120.537148,79.602400,-40.934748,120.496916,-0.040232
292.999263,1766377294.405664,0.784290,120.632201,79.713521,-40.918680,120.608036,-0.024164
293.101722,1766377294.508122,0.687649,121.374520,80.375362,-40.999158,121.269877,-0.104643
293.199887,1766377294.606287,0.594896,121.840354,80.837628,-41.002726,121.732144,-0.108210
295.399153,1766377296.805554,0.529567,120.595850,79.768484,-40.827366,120.663000,0.067149
295.499078,1766377296.905478,0.558434,121.191357,80.345350,-40.846007,121.239866,0.048509
295.599259,1766377297.005659,0.538993,121.552653,80.747023,-40.805630,121.641538,0.088886
295.700096,1766377297.106497,0.650442,121.436458,80.661201,-40.775257,121.555717,0.119259
295.800086,1766377297.206487,0.671000,120.894760,80.185222,-40.709539,121.079738,0.184977
295.899534,1766377297.305934,0.659143,120.426805,79.753953,-40.672852,120.648469,0.221664
295.999097,1766377297.405497,0.667159,120.658436,79.905897,-40.752539,120.800413,0.141977
296.099339,1766377297.505739,0.618193,121.435012,80.716239,-40.718774,121.610754,0.175742
296.199780,1766377297.606180,0.576977,121.537126,80.827395,-40.709732,121.721910,0.184784
296.299202,1766377297.705603,0.649251,121.571221,80.883202,-40.688019,121.777718,0.206497
296.399347,1766377297.805747,0.644070,119.814916,79.260392,-40.554524,120.154908,0.339992
296.500319,1766377297.906720,0.615644,116.353160,75.751939,-40.601220,116.646455,0.293296
296.599212,1766377298.005612,0.693844,113.588183,72.856042,-40.732141,113.750558,0.162375
296.699563,1766377298.105963,0.624624,111.599660,70.878221,-40.721439,111.772737,0.173076
296.808328,1766377298.214728,0.528899,109.285056,68.528936,-40.756120,109.423452,0.138396
296.899064,1766377298.305464,0.614939,106.010395,65.443177,-40.567218,106.337693,0.327298
299.799412,1766377301.205812,0.507795,88.311771,47.512915,-40.798857,88.407430,0.095659
299.900589,1766377301.306989,0.620840,88.374904,47.616502,-40.758401,88.511018,0.136115
299.999030,1766377301.405431,0.682551,87.793967,47.025354,-40.768613,87.919869,0.125903
300.102051,1766377301.508452,0.639130,87.375607,46.609360,-40.766247,87.503875,0.128269
300.199076,1766377301.605477,0.768898,87.873942,47.070744,-40.803198,87.965260,0.091318
300.299757,1766377301.706157,0.667786,88.627147,47.829528,-40.797619,88.724044,0.096897
300.399182,1766377301.805582,0.642446,88.871142,48.065939,-40.805203,88.960455,0.089313
300.499344,1766377301.905744,0.687425,88.573838,47.868690,-40.705147,88.763206,0.189368
300.600316,1766377302.006716,0.672916,85.293548,44.654761,-40.638788,85.549276,0.255728
300.699220,1766377302.105620,0.569283,81.693491,40.991521,-40.701970,81.886037,0.192545
300.800078,1766377302.206479,0.567957,79.181374,38.418607,-40.762768,79.313122,0.131748
300.900225,1766377302.306626,0.568224,77.196656,36.513375,-40.683281,77.407890,0.211235
301.000017,1766377302.406417,0.567923,75.074418,34.426196,-40.648222,75.320712,0.246294
301.099219,1766377302.505620,0.629679,71.385903,30.759726,-40.626177,71.654242,0.268339
301.202832,1766377302.609233,0.520024,67.473928,26.866882,-40.607046,67.761398,0.287470
302.700325,1766377304.106725,0.512769,46.761277,5.896718,-40.864559,46.791234,0.029957
302.799810,1766377304.206211,0.541837,46.961106,6.090612,-40.870493,46.985128,0.024023
302.899744,1766377304.306144,0.643443,46.763197,5.920354,-40.842843,46.814870,0.051673
303.000270,1766377304.406670,0.586932,46.154139,5.256117,-40.898022,46.150632,-0.003507
303.099301,1766377304.505701,0.542752,45.803015,4.934030,-40.868985,45.828546,0.025531
303.199905,1766377304.606305,0.613541,45.824380,4.926079,-40.898300,45.820595,-0.003785
303.299085,1766377304.705486,0.693627,46.409810,5.493297,-40.916514,46.387812,-0.021998
303.399130,1766377304.805531,0.691698,46.713690,5.799244,-40.914446,46.693760,-0.019930
303.499102,1766377304.905502,0.757565,46.459541,5.589853,-40.869688,46.484368,0.024828
303.599525,1766377305.005926,0.639484,45.842433,4.920779,-40.921654,45.815294,-0.027138
303.699472,1766377305.105873,0.560972,45.564067,4.663546,-40.900521,45.558062,-0.006005
303.811843,1766377305.218244,0.553151,45.708277,4.838787,-40.869491,45.733302,0.025025
303.900247,1766377305.306648,0.693226,46.365817,5.361878,-41.003939,46.256394,-0.109423
303.999188,1766377305.405589,0.589871,46.748781,5.753342,-40.995438,46.647858,-0.100923
304.099575,1766377305.505975,0.731416,46.531955,5.563791,-40.968164,46.458307,-0.073648
304.201137,1766377305.607537,0.664458,45.815809,4.832676,-40.983132,45.727192,-0.088616
304.299426,1766377305.705826,0.689385,45.489157,4.534468,-40.954689,45.428984,-0.060173
304.400035,1766377305.806436,0.753426,45.814108,4.820747,-40.993361,45.715262,-0.098846
304.499183,1766377305.905584,0.703343,46.696588,5.632341,-41.064247,46.526857,-0.169731
304.599396,1766377306.005797,0.647627,47.197288,6.145401,-41.051887,47.039917,-0.157371
304.699237,1766377306.105638,0.657851,46.749390,5.766651,-40.982739,46.661167,-0.088223
304.799202,1766377306.205603,0.572269,46.014191,5.016516,-40.997676,45.911031,-0.103160
304.900692,1766377306.307093,0.548804,45.669819,4.711943,-40.957876,45.606459,-0.063360
304.999125,1766377306.405525,0.561566,45.947351,4.950895,-40.996456,45.845411,-0.101940
305.309497,1766377306.715897,0.524076,47.032772,6.017787,-41.014986,46.912303,-0.120470
305.399058,1766377306.805458,0.595357,46.243805,5.308287,-40.935518,46.202802,-0.041002
305.499901,1766377306.906302,0.512461,45.874542,4.922884,-40.951658,45.817400,-0.057142
305.599200,1766377307.005600,0.557580,45.935458,4.957224,-40.978234,45.851740,-0.083719
305.699183,1766377307.105583,0.548070,46.613447,5.605514,-41.007933,46.500030,-0.113417
305.799202,1766377307.205602,0.647936,47.052660,6.040763,-41.011897,46.935279,-0.117381
305.902008,1766377307.308408,0.710536,47.052032,6.115696,-40.936336,47.010212,-0.041820
306.000336,1766377307.406737,0.631742,46.229306,5.224889,-41.004417,46.119405,-0.109901
306.099302,1766377307.505702,0.550432,45.918087,4.923834,-40.994254,45.818350,-0.099738
306.199108,1766377307.605509,0.669894,45.951245,4.905518,-41.045727,45.800034,-0.151211
306.299257,1766377307.705657,0.649038,46.589827,5.448469,-41.141358,46.342985,-0.246842
306.399056,1766377307.805456,0.686700,46.981954,5.879265,-41.102689,46.773781,-0.208173
306.505161,1766377307.911562,0.555194,46.721235,5.603001,-41.118234,46.497517,-0.223718
306.899281,1766377308.305681,0.615432,46.611440,5.406783,-41.204657,46.301299,-0.310141
306.999252,1766377308.405653,0.650527,47.214588,6.027729,-41.186860,46.922244,-0.292344
307.099915,1766377308.506315,0.772501,46.935644,5.832710,-41.102934,46.727226,-0.208418
307.199229,1766377308.605629,0.825506,46.333304,5.298177,-41.035128,46.192693,-0.140612
307.298999,1766377308.705400,0.880051,45.646823,4.693167,-40.953655,45.587683,-0.059140
307.399749,1766377308.806149,0.817592,45.032348,4.008510,-41.023837,44.903026,-0.129322
307.499301,1766377308.905702,0.668487,44.471305,3.570838,-40.900467,44.465354,-0.005951
309.299135,1766377310.705535,0.504686,22.091510,-19.117262,-41.208772,21.777253,-0.314256
309.399384,1766377310.805784,0.525308,22.360228,-18.833961,-41.194189,22.060555,-0.299673
309.500026,1766377310.906426,0.698516,22.295983,-18.886252,-41.182235,22.008264,-0.287719
309.599199,1766377311.005600,0.739866,21.634462,-19.517734,-41.152196,21.376781,-0.257680
309.699135,1766377311.105536,0.707359,21.268752,-19.885559,-41.154311,21.008957,-0.259795
309.799203,1766377311.205604,0.691319,21.385904,-19.827427,-41.213331,21.067089,-0.318816
309.899178,1766377311.305578,0.593453,22.153653,-19.015052,-41.168705,21.879463,-0.274189
309.999805,1766377311.406206,0.664089,22.202460,-18.956654,-41.159114,21.937862,-0.264598
310.099413,1766377311.505813,0.794092,21.994279,-19.106000,-41.100279,21.788516,-0.205764
310.200375,1766377311.606775,0.672545,21.320069,-19.762019,-41.082088,21.132496,-0.187573
310.299067,1766377311.705467,0.621377,20.926618,-20.137702,-41.064320,20.756814,-0.169804
310.399345,1766377311.805746,0.658505,20.998051,-20.133381,-41.131432,20.761134,-0.236917
310.499098,1766377311.905498,0.601472,21.768596,-19.390515,-41.159111,21.504000,-0.264595
310.599092,1766377312.005493,0.583018,22.131764,-19.060634,-41.192397,21.833882,-0.297882
310.699203,1766377312.105604,0.645332,21.987638,-19.192518,-41.180156,21.701998,-0.285640
